1 1 
1.04961 1.08682 
1.06213 1.18604 
1.19967 1.15365 
1.14712 1.23873 
1.22222 1.30477 
1.27136 1.39186 
1.35552 1.44587 
1.40384 1.53342 
1.50321 1.52227 
1.55072 1.61027 
1.59822 1.69827 
1.66618 1.77162 
1.76615 1.76914 
1.85041 1.82299 
1.89584 1.91208 
1.9655 1.98382 
1.98087 2.08263 
2.05349 2.15138 
2.02877 2.24828 
2.07466 2.33712 
2.07506 2.43712 
2.14727 2.50629 
2.24689 2.51503 
2.29175 2.6044 
2.33661 2.69378 
2.43626 2.70208 
2.4982 2.78059 
2.59373 2.75105 
2.66901 2.81689 
2.69427 2.91364 
2.73555 3.00472 
2.77684 3.0958 
2.86984 3.13255 
2.9696 3.13949 
3.00815 3.23176 
2.98175 3.32821 
2.98695 3.42808 
3.02724 3.5196 
3.11866 3.56013 
3.15768 3.65221 
3.19669 3.74428 
3.29641 3.75182 
3.33363 3.84463 
3.32782 3.98447 
3.4021 3.91752 
3.50153 3.92814 
3.59797 3.9546 
3.69633 3.9366 
3.78168 3.98871 
3.87463 3.95182 
3.96327 3.99811 
4.06223 3.9837 
4.16118 3.96923 
4.25801 3.94425 
4.35698 3.92995 
4.45443 3.9524 
4.55036 3.92419 
4.64441 3.89022 
4.73314 3.93634 
4.83062 3.91401 
4.9306 3.91568 
5.0019 3.9858 
5.07762 4.05112 
5.07566 4.1511 
5.06066 4.24997 
5.05904 4.34995 
5.08532 4.44644 
5.08292 4.54641 
5.13738 4.63028 
5.14472 4.73001 
5.1403 4.82991 
5.19903 4.91085 
5.1926 5.01065 
5.24465 5.09603 
5.23625 5.19568 
5.3271 5.30764 
5.22786 5.29533 
5.21946 5.39497 
5.1489 5.46583 
5.14303 5.56566 
5.13717 5.66548 
5.1313 5.76531 
5.06619 5.84121 
5.06312 5.94116 
5.01914 6.03097 
5.01817 6.13096 
5.01719 6.23096 
5.01622 6.33095 
5.01525 6.43095 
5.01428 6.53094 
5.09447 6.59068 
5.08779 6.69046 
5.0671 6.78829 
5.03659 6.88352 
5.03331 6.98347 
5.03004 7.08342 
5.02676 7.18336 
5.02349 7.28331 
4.93505 7.33 
4.9447 7.42953 
4.95435 7.52907 
4.89193 7.66149 
4.92234 7.75675 
4.95275 7.85202 
4.98317 7.94728 
5 8 
